Type	Enabled	Quantity	SRC	Component	OITitle	Name	Behavior	CycleTime	Policy	Tags	SpawnTime	Location	Position	Original	Cleared	Branch
Supply Record	true	11	01205K000	AC	OI18	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	true	18	01205K000	NG	OI18	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	true	2	01205K000	RC	OI18	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	11	01225K000	AC	OI147	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	4	01225K100	NG	OI147	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	11	01285K000	AC	OI19	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	4	01285K000	NG	OI19	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	11	01285K100	AC	OI158	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	12	01302K000	AC	OI178	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	8	01402K000	NG	OI184	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	2	01402K000	RC	OI184	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	1	01418K000	RC	OI74	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	8	01435K000	NG	OI148	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	2	01435K000	RC	OI148	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	2	01447K000	NG	OI262	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	1	01447K000	RC	OI262	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	2	01605K100	RC	OI413	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	2	01605K100	NG	OI413	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	1	01607K000	AC	OI414	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	1	01612K000	NG	OI210	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	1	01612K100	NG	OI210	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	1	01622K000	AC	OI206	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	1	01622K000	NG	OI206	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	2	01623K000	AC	OI8	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	4	01623K000	NG	OI8	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	1	01625E000	AC	OI25	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	1	01635K000	NG	OI149	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	4	01636K000	NG	OI186	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	1	01636K000	RC	OI186	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	5	01639K000	NG	OI26	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	2	01639K000	RC	OI26	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	6	01655E000	NG	OI27	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	1	01695E000	AC	OI24	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	11	01707R000	AC	OI153	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	1	01802G000	AC	OI202	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	1	01808G000	AC	OI152	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	1	01815G000	AC	OI397	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	3	01825G000	AC	OI396	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	1	01927K000	AC	OI32	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	1	01959R000	NG	OI31	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	4	01980G000	NG	OI416	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	1	01982G000	NG	OI225	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	01
Supply Record	false	19	02523KB00	AC	OI334	Auto	Auto	0	Auto	Auto	0	Auto	Auto	false	true	02
